sub_id,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7
001_1,3.113535244396097,7.015784391305136,9.999985191713927,9.999986829749592,-10.0,-9.99999999909795,-10.0
001_10,3.1025977858988933,6.987492452549151,9.99989240374412,9.999886057489777,10.0,9.99999996459907,10.0
001_11,3.1098150973164764,7.008462155711128,9.999935901186854,9.999968841690034,-10.0,-9.999999993508721,10.0
001_12,3.1089339959222966,7.003194423249418,9.999484831676488,9.999761215013843,-10.0,-9.999999924880857,10.0
001_13,3.1064790390922026,7.004220425326377,9.99992802355683,9.999960108063688,-10.0,-9.99999999327503,-10.0
001_14,3.1073967883651283,7.000221694156296,9.99950926902701,9.999623449198785,-10.0,-9.99999993620857,-10.0
001_15,3.1166799986973737,7.03050713716148,9.999795806941329,9.99982093583297,10.0,-9.999999996237602,-10.0
001_16,3.1177735529176376,7.034597566403238,9.999367773064522,9.999608918976145,-10.0,-9.999999882047172,-10.0
001_17,3.1214625514525256,7.049192361993283,9.9999999856266,9.999988861119313,10.0,-9.999999996892514,10.0
001_18,3.108931442786841,7.025306750396821,9.999992146099354,9.99995846199372,-10.0,9.999999990615285,-10.0
001_19,3.1203791762577047,7.036631189690525,9.999950871484108,9.999934297568,10.0,-9.9999999996965,-10.0
001_2,3.1154516379921144,7.027908506392308,9.999915978238985,9.99992356903424,-10.0,-9.999999977883572,-10.0
001_20,3.113930849490794,7.025798238626373,9.999946879572246,9.999929446406073,-10.0,-9.99999997856851,10.0
001_21,3.1186931045792607,7.040988234366359,9.999969556767153,9.999963022616498,-10.0,-9.999999996608661,-10.0
001_22,3.111203160987769,7.023738222771313,9.999816383938159,9.99981371525487,-10.0,-9.999999944688215,-10.0
001_23,3.112516244904697,7.020496776290083,9.999830373148807,9.999899499445856,-10.0,-9.999999983096583,10.0
001_24,3.0987668564226607,7.006021791701461,9.999554259136959,9.999648451766845,10.0,9.999999893174536,10.0
001_25,3.116486474136098,7.0307603097672,9.999906921839171,9.999907545027911,-10.0,-9.999999989588444,-10.0
001_26,3.107180244804784,7.005483788567596,9.999459701399102,9.999582829113443,-10.0,-9.99999992120336,10.0
001_27,3.1149128011859646,7.016202622350681,9.99955095833872,9.999787413718433,-10.0,-9.99999995596504,-10.0
001_28,3.115470557560639,7.027684031865851,9.999912594316516,9.999922585657709,-10.0,-9.999999983898427,-10.0
001_29,3.1197085402116285,7.053407963676702,9.99999969678615,9.999996266861837,-10.0,-9.999999999130463,-10.0
001_3,3.102238503676467,6.982524543617501,9.99996843903751,9.999966982164384,-10.0,-9.999999992189567,10.0
001_30,3.1026245567407535,7.010239134133504,9.9999539052725,9.999990857209246,10.0,9.99999999775126,-10.0
001_31,3.1101414000512064,7.012156808661553,9.999647931654442,9.999778729689753,-10.0,-9.999999942808257,10.0
001_32,3.119859137331008,7.048607327599843,9.999984189442408,9.999997540210144,-10.0,9.999999999922249,10.0
001_33,3.102839808565367,7.003070964009655,9.999651430646626,9.999913870144102,10.0,9.999999974495013,10.0
001_34,3.1159282005388422,7.030301577237097,9.999963094861387,9.99997643108804,-10.0,-9.999999995571478,-10.0
001_35,3.1071214683234536,7.0051455073097655,9.999980570101354,9.999987735538555,-10.0,-9.999999997588063,10.0
001_36,3.109027613076424,7.0163167935271575,9.999942406229643,9.999980945608186,10.0,-9.999999999326016,-10.0
001_37,3.117811204669182,7.032427295657547,9.999856521857653,9.999888017476579,-10.0,-9.999999966563527,-10.0
001_38,3.1055595803918203,7.017779495762662,9.999758233630779,9.999867658556825,10.0,9.999999997185304,10.0
001_39,3.1141168821028757,7.038468336872646,9.999967564448031,9.999980280826147,-10.0,-9.999999994039678,-10.0
001_4,3.1268475767779496,7.064618431287108,9.999640851845998,9.999923996381916,10.0,9.999999980239688,10.0
001_40,3.103230894000463,6.981581568074966,9.999216654051345,9.999504572981374,-10.0,-9.99999984921543,10.0
001_41,3.109692757773039,7.006649472176572,9.998970048717586,9.99945600181407,-10.0,-9.999999829331625,10.0
001_42,3.12157511531039,7.051977276452657,9.99983384227848,9.999848377370155,-10.0,-9.999999955341831,-10.0
001_43,3.105219141010049,6.998880766347675,9.999506486239715,9.999563094605747,-10.0,-9.999999866379506,-10.0
001_44,3.1170067533921038,7.032493943163153,9.99968652010112,9.99973187395154,-10.0,-9.999999920725722,10.0
001_45,3.117013515794926,7.031951589206059,9.99983101643315,9.999822706557396,-10.0,-9.999999946041832,-10.0
001_46,3.1207309233497313,7.040743858284974,9.99980675719307,9.999871306062998,-10.0,-9.9999999648544,10.0
001_47,3.1134451338019136,7.029488069675781,9.999921923182326,9.999932528342285,-10.0,-9.999999986421905,10.0
001_48,3.1147686309519256,7.026258737332831,9.999719973991805,9.999771618133778,10.0,9.999999999246018,-10.0
001_49,3.118577518347412,7.033510550069932,9.999885723942064,9.999920711123057,-10.0,-9.999999976668335,10.0
001_5,3.115412841308107,7.029578907442368,9.999912196013893,9.999877073981233,10.0,9.99999996289682,10.0
001_50,3.095750431749233,6.988689584831358,9.999108087516017,9.999335111602418,10.0,9.99999993273496,10.0
001_6,3.1204828612887128,7.04589075119145,9.999994823027311,9.999988057359896,10.0,-9.999999998757113,-10.0
001_7,3.092131486348553,6.951029458940984,9.999731082308852,9.99979442968962,-10.0,-9.999999941222214,-10.0
001_8,3.1087755368721255,7.008667929408483,9.999771149321322,9.999877232547844,-10.0,-9.999999962780828,10.0
001_9,3.112130205581055,7.015432801984669,9.999866735246025,9.999846806530288,-10.0,-9.999999953821568,10.0
002_1,3.1224320250699353,7.045933619723009,9.999780270941883,9.999864814706878,-10.0,-9.99999997941159,-10.0
002_10,3.1211487920417182,7.0484464328465695,9.999907132355483,9.999947749829328,-10.0,-9.999999984633938,-10.0
002_11,3.106257850239537,7.003761860310192,9.999945300834108,9.999914121004416,-10.0,-9.999999994900845,10.0
002_12,3.1204458583348322,7.04303445371036,9.999791738393844,9.999847463100446,10.0,9.999999999704125,-10.0
002_13,3.118437391252998,7.036238311701562,9.99996589638286,9.999946630631678,-10.0,-9.999999993413828,-10.0
002_14,3.1034114651799154,6.989054926452724,9.999979768701847,9.999983976971832,10.0,9.999999996003114,-10.0
002_15,3.1109525897674644,7.012623617763329,9.999935353953049,9.999936910575618,-10.0,-9.999999989337425,-10.0
002_16,3.1147196742804155,7.019156249491468,9.999908138815275,9.99989184992465,10.0,9.999999986437054,-10.0
002_17,3.116609200233851,7.025335699736177,9.99989754254231,9.99988974260685,-10.0,-9.999999989426064,-10.0
002_18,3.1209103523212707,7.041424229276978,9.999968416229766,9.999972784069634,-10.0,-9.999999992782103,-10.0
002_19,3.110947429620119,7.005509491841504,9.999846791671517,9.999952384473165,-10.0,-9.999999989572453,-10.0
002_2,3.104720586704957,6.983917639961646,9.999538395535325,9.999688337909555,10.0,9.999999916636789,10.0
002_20,3.1161423320623767,7.031646841174728,9.999777068978974,9.999852536661356,-10.0,-9.999999956581412,-10.0
002_21,3.111598479920555,7.02234742386403,9.999613525162557,9.999570249630262,10.0,9.999999953303282,-10.0
002_22,3.1170722158920965,7.033343655361158,9.999862655145984,9.999892378170141,-10.0,-9.999999967855173,-10.0
002_23,3.10820988290002,6.994067765054695,9.999524432884186,9.99976254075643,10.0,9.999999987254157,10.0
002_24,3.1011592558489447,6.983736056778766,9.999975729953189,9.999964562472488,-10.0,-9.999999988793558,-10.0
002_25,3.117421671556847,7.033108631776887,9.999914931191485,9.999918909509395,10.0,9.999999985704159,-10.0
002_26,3.1205126232601503,7.04403106226676,9.999860933604019,9.999896491414498,-10.0,-9.99999996965602,-10.0
002_27,3.1063012963795553,6.996065271719032,9.999551192981139,9.999832780295858,-10.0,-9.999999950455754,-10.0
002_28,3.126979239340863,7.062066747308167,9.999983796897697,9.999998505064296,10.0,9.999999999561359,-10.0
002_29,3.115317575544204,7.024940081217025,9.999967232198443,9.999986735234414,10.0,9.999999997937268,10.0
002_3,3.1113163359671803,7.00807700619441,9.999947771679802,9.999984058227323,-10.0,-9.999999998184807,-10.0
002_30,3.1066285512791136,7.000571692688632,9.99946198858824,9.999459784555532,-10.0,-9.999999976189963,-10.0
002_31,3.107294419842553,6.994757323323246,9.999975534553116,9.999979551993555,10.0,9.99999999390543,-10.0
002_32,3.117406988896493,7.034424677660025,9.999798434908712,9.999904787484818,-10.0,-9.999999977438785,10.0
002_33,3.109608938834075,7.000725719022476,9.999865507189286,9.99989356238379,-10.0,-9.999999967492064,-10.0
002_34,3.1180214284216636,7.035750662532577,9.99997842648716,9.999956553857967,-10.0,-9.999999988725063,-10.0
002_35,3.11221287270902,7.014176119982785,9.999917557875497,9.999953051275085,-10.0,-9.99999999303361,-10.0
002_36,3.120860637717121,7.041835337200844,9.999859846994953,9.999860694635462,-10.0,-9.999999958453555,-10.0
002_37,3.125773221761725,7.061802836720573,9.999979585623704,9.999971855105061,-10.0,-9.999999991715711,-10.0
002_38,3.1186583140819693,7.0431876076061055,9.999916205688368,9.99991185733994,-10.0,-9.999999979081078,-10.0
